874,FALSE,EDE9CE,343229,26799,FALSE,Raleigh,EDE9CE,-18000,22422,"New Media, Social Media, Technology Evangelist, blogging, consultant, strategist, podcaster, video blogger, entrepreneur & producer",26483,343229,http://s3.amazonaws.com/twitter_production/profile_images/125323787/WayneSutton-headshot2_normal.jpg,FALSE,http://s3.amazonaws.com/twitter_production/profile_background_images/3776852/socialwayne-twitterbck.jpg,waynesutton,FALSE,1115,Wayne Sutton,http://socialwayne.com,Fri Jul 14 14:16:18 +0000 2006,Eastern Time (US & Canada),ede9ce,FALSE,m
885,FALSE,E4DAD4,173249,11073,FALSE,"iPhone: 37.443207,-122.161346",FFFFFF,-28800,3775,"Ross Mayfield, Chairman &amp; Co-founder of Socialtext. Social Software, marketing and other stuff",416,0000ff,http://s3.amazonaws.com/twitter_production/profile_images/285609612/3653696757_fe67746b89_o_normal.jpg,None,http://s3.amazonaws.com/twitter_production/profile_background_images/2687805/twitbackground.png,Ross,FALSE,16,Ross,http://ross.typepad.com,Fri Jul 14 15:12:42 +0000 2006,Pacific Time (US & Canada),F5960E,None,m
888,FALSE,F3F3F3,333333,10722,FALSE,sf bay area,EBEBEB,-32400,2230,"twittering away since july 14, 2006. doing what i *love* to do. ☆＼（*＾▽＾*）／☆ oh, and i work here.",479,990000,http://s3.amazonaws.com/twitter_production/profile_images/58660254/little.red_normal.png,FALSE,http://static.twitter.com/images/themes/theme7/bg.gif,caroline,FALSE,358,caroline,http://flickr.com/photos/iluvpepero,Fri Jul 14 15:55:39 +0000 2006,Alaska,DFDFDF,FALSE,f
989,FALSE,d5cfc3,706a54,594299,FALSE,San Francisco,f8f7f5,-28800,5607,Founder of GigaOM. Venture Partner at True Ventures,447,d37f0d,http://s3.amazonaws.com/twitter_production/profile_images/215900093/gigaom_large_copy_normal.gif,FALSE,http://s3.amazonaws.com/twitter_production/profile_background_images/16090443/OMTWITBACKGROUND.JPG,om,FALSE,20,Om Malik,http://gigaom.com/,Sat Jul 15 05:53:13 +0000 2006,Pacific Time (US & Canada),d5cfc3,FALSE,?
1081,FALSE,e0ff92,0,21473,FALSE,Silicon Valley,EB5F55,-28800,4482,"Geeks. Entrepreneurs. Startups. The Internet Revolution, Act II.",1814,0000ff,http://s3.amazonaws.com/twitter_production/profile_images/302286692/500hats_normal.jpg,FALSE,http://s3.amazonaws.com/twitter_production/profile_background_images/2813897/AARRR.jpg,davemcclure,FALSE,63,Dave McClure,http://500hats.typepad.com,Sun Jul 16 00:37:30 +0000 2006,Pacific Time (US & Canada),87bc44,FALSE,m
1084,FALSE,d9d9d9,0,11042,FALSE,"Brooklyn, NY",ffffff,-18000,3452,Editor of Twitter Wit,844,000cff,http://s3.amazonaws.com/twitter_production/profile_images/114458827/nick_jan_2009_icon_normal.jpg,None,http://s3.amazonaws.com/twitter_production/profile_background_images/3320064/01123_regalblue_1920x1200-2.jpg,nick,FALSE,5823,Nick Douglas,http://toomuchnick.com,Sun Jul 16 00:42:59 +0000 2006,Eastern Time (US & Canada),0,None,m
1186,FALSE,FFF9E7,444,18160,FALSE,Microsoft Corporation,544836,-28800,7502,Sasquatch.,1521,fa0000,http://s3.amazonaws.com/twitter_production/profile_images/270299871/unverified_normal.png,FALSE,http://s3.amazonaws.com/twitter_production/profile_background_images/5234623/bg_med.png,chrismessina,TRUE,2789,Chris Messina,http://factoryjoe.com/,Sun Jul 16 06:53:48 +0000 2006,Pacific Time (US & Canada),868686,FALSE,m
1192,FALSE,95E8EC,3C3940,28633,FALSE,"San Francisco, CA",0099B9,-28800,20290,"Author/The Whuffie Factor, Owner/Citizen Space",1533,0099B9,http://s3.amazonaws.com/twitter_production/profile_images/271418825/tara_bccf3_normal.jpg,FALSE,http://static.twitter.com/images/themes/theme4/bg.gif,missrogue,FALSE,1755,Tara missrogue Hunt,http://www.horsepigcow.com,Sun Jul 16 06:56:52 +0000 2006,Pacific Time (US & Canada),5ED4DC,FALSE,f
1418,FALSE,E3E2DE,634047,14454,FALSE,"1800 Lavaca, Austin, TX 78701",EDECE9,-21600,3635,"web host and developer, videographer, blogger, vlogger",10592,88253,http://s3.amazonaws.com/twitter_production/profile_images/107174368/Image2_normal.jpg,FALSE,http://s3.amazonaws.com/twitter_production/profile_background_images/3781962/springnet_367_twitbacks.jpg,springnet,TRUE,39,Paul Terry Walhus,http://spring.net,Sun Jul 16 17:10:09 +0000 2006,Central Time (US & Canada),D3D2CF,FALSE,m
1495,FALSE,FF8000,190707,17106,FALSE,"Ross, CA",0099B9,-28800,2081,"Co-founded AIM-listed Blinkx.tv in 2004 &amp; tech PR firm Consort Partners in 2005. Aspiring artist (www.katjohn.com), runner, dog lover, hospice volunteer",8636,B40404,http://s3.amazonaws.com/twitter_production/profile_images/270152226/Blinkx_Video_002_001_0001-1_normal.jpg,FALSE,http://s3.amazonaws.com/twitter_production/profile_background_images/17817036/twitterbackground.jpg,Kathy_Johnson,TRUE,4,Kathy Johnson,http://www.consortpartners.com/blog,Sun Jul 16 18:43:45 +0000 2006,Pacific Time (US & Canada),FFFF00,FALSE,f
